Project,Name,Sector,Amount
28119,Tshwane Foundation,Charities,2106100
37037,Tshwane Leadership Foundation,Charities,1450000
31539,Tshwaranang Northern Region Resource Centre,Charities,481555
34955,Tswelopele Adult Centre,Charities,253191
21395,Tuiniqua Versorgings Sentrum vir Senior Bejaardes,Charities,173392
34045,Tuiste vir Bejaardes,Charities,672780
31850,Turfhall Cheshire Home,Charities,371208
33316,Tygerberg Association for the Physically Disabled,Charities,297598
33784,Tygerberg Hospice,Charities,1074100
30109,Tygerberg Hospice,Charities,144492
31386,Ubuntu Workshop for the Blind,Charities,320000
33766,Uitenhage Child & Family Welfare,Charities,457955
31181,Umkhathizwe Primary School,Charities,150500
34051,Umtapo Centre,Charities,1293217
31531,Umtata Child & Family Welfare Society,Charities,616820
33737,Umtata Child & Family Welfare Society,Charities,389600
33910,Umtata Child Abuse Resource Centre,Charities,762058
30970,Umthathi Training Project,Charities,190981
33529,Umvoti Aids Centre,Charities,427000
33529,Umvoti Aids Centre,Charities,427000
34331,Umzumbe District Child & Family Welfare Society,Charities,108835
10789,Umzumbe District Child & Family Welfare Society,Charities,158158
32201,Uniondale Integrated Empowerment Project,Charities,419664
30517,United Cerebral Palsy Association,Charities,586656
34690,United Cerebral Palsy Association,Charities,1357561
27227,Upper Karoo Advice & Development Agency,Charities,321500
30552,Usindiso Ministries,Charities,312150
33990,Usindiso Ministries,Charities,1113000
30552,Usindiso Ministries,Charities,312150
35628,Usizo Diakonale Dienste,Charities,338286
35273,Usizo Thuso Community Centre,Charities,458982
26406,Utlwanang Council of Churches,Charities,225000
33650,Valley Development Project,Charities,986302
34301,Valley Trust,Charities,1313485
27231,Vanzylsrus Support Care Group,Charities,122700
31113,Vermont Centre,Charities,547882
34136,Verulam Regional Hospice,Charities,300000
33867,Vezokuhle Youth Development Project,Charities,1604360
29078,Vhutshilo Mountain School,Charities,543200
22652,Vhutshilo Mountain School,Charities,50000
34316,Victorial Memorial Home,Charities,672660
31401,Viljoenskroon Hospice,Charities,660000
35927,Viljoenskroon Sentrum vir Bejaardes,Charities,458710
32196,Virginia Child & Family Welfare Society,Charities,240738
30679,Vita Nova Centre,Charities,620000
34772,Vita Nova Centre,Charities,904534
31014,Vrystaat Nasorg,Charities,764921
33209,Vrystaat Nasorgsentrum,Charities,1016857
28499,Vrystaat Versorging in Aksie Hoofbestuur,Charities,485452
33496,Vukuhambe Association for the Multi Disabled,Charities,400000
26563,Vulindlela Child & Family Welfare Society,Charities,67000
31871,Vulindlela Educare Centre,Charities,50000
30338,Vusanani Crèche & Pre-School,Charities,20000
30772,Vuyani Primary School,Charities,1771223
33223,Walmer Soup Kitchen,Charities,561510
34479,Waterberg Welfare Society,Charities,317000
33470,Wellington Society for the Aged,Charities,511530
34044,Wenakker,Charities,4699890
32242,West Coast Community HIV/Aids Initiative,Charities,100000
31617,West Rand Association for the Physically Disabled,Charities,912695
33499,Western Cape Cerebral Palsy Association,Charities,957545
33827,Western Cape Forum for Intellectual Disability,Charities,307399
33786,Western Cape Network on Disability,Charities,218000
33824,Westlake United Church Trust,Charities,1070690
34885,White River Child & Family Welfare Society,Charities,377640
30658,Wide Horizon Hospice,Charities,1475000
33622,Wide Horizon Hospice,Charities,784748
33236,Winterberg School Trust,Charities,499901
23624,Winterveldt Community Project,Charities,318400
34655,Winterveldt Community Project,Charities,409420
22369,Wisani Community Project,Charities,400000
25819,Witbank Hospice,Charities,500000
24579,Witbank Society for the Aged,Charities,587648
34019,Witbank Society for the Aged,Charities,550000
30501,Witkoppen Health & Welfare Centre,Charities,943196
31110,Wola Nani,Charities,1257242
33813,Wola Nani,Charities,1500000
36301,Wolmer Community Project,Charities,714100
33348,Women on Farms Project,Charities,500000
33521,Women’s Legal Centre Trust,Charities,775870
33474,Woodside Special Care Centre,Charities,1815527
32236,Worcester Child & Family Welfare Society,Charities,578000
33462,Worcester Child & Family Welfare Society,Charities,607836
33508,Worcester Ekumeniese Gemeenskapdiens,Charities,201700
34309,World Changers Academy,Charities,138939
34139,Yabonga Children’s Project,Charities,723836
34780,Yatsar Centre,Charities,373528
21700,Youth Development Outreach,Charities,500000
24194,Youth for Christ SA,Charities,1500000
33270,Zandvliet Care Facility,Charities,195000
26409,Zeerust Tehuis vir Bejaardes,Charities,759126
34365,Ziphakamise,Charities,2291694
34292,Ziphatheleni Community Development,Charities,615918
25583,Zisize Ingwavuma Educational Trust,Charities,201425
34236,Zithuthukise Development Organisation,Charities,497000
34236,Zithuthukise Development Organisation,Charities,497000
22215,Zizameleni Itekeleng Pre School,Charities,50000
31042,Zwelibanzi Inclusive Assistance Programme,Charities,83650
21847,Zwelihle Welfare Society,Charities,150000
13394,!Kheis Municipality,Sports & Recreation,365715
32957,Aberdeen Soccer Club,Sports & Recreation,195000
23812,Aha Setjhaba Primary School,Sports & Recreation,350000
32293,Akido Federation of South Africa,Sports & Recreation,480000
33008,Alberhart Tennis Club,Sports & Recreation,399000
32958,Amanzimtoti Tennis Club,Sports & Recreation,448647
38989,Andisa Primary School,Sports & Recreation,300000
25806,Angus Gillis Charitable Trust,Sports & Recreation,47500
38402,Arcadia Special School,Sports & Recreation,658653
32607,Association for Autism Pretoria,Sports & Recreation,29800
24088,Athletics Gauteng North,Sports & Recreation,400000
32839,Athletics Gauteng North,Sports & Recreation,584592
32662,Athletics North West North,Sports & Recreation,1836000
38571,Athletics South Africa,Sports & Recreation,8866356
25597,Athletics South Africa,Sports & Recreation,2078678
32384,Athletics South Africa,Sports & Recreation,3000000
32384,Athletics South Africa,Sports & Recreation,3000000
32384,Athletics South Africa,Sports & Recreation,2000000
38506,AW Barnes Primary School,Sports & Recreation,500000
37471,Bababa Secondary School,Sports & Recreation,510000
32385,Badminton South Africa,Sports & Recreation,1724800
25753,Bafedi Primary School,Sports & Recreation,350000
27731,Bahlaloga Secondary School,Sports & Recreation,250000
37643,Bakone Nkwe Secondary School,Sports & Recreation,500000
37787,Bakone Primary School,Sports & Recreation,500000
37763,Bakwena Senior Secondary School,Sports & Recreation,500000
24928,Basketball South Africa,Sports & Recreation,816667
24928,Basketball South Africa,Sports & Recreation,816667
39367,Bathja Primary School,Sports & Recreation,400000
33092,Bay City Soccer School,Sports & Recreation,18600
23867,Bazini Primary School,Sports & Recreation,100000
38420,Beaconhurst School,Sports & Recreation,700000
23876,Bekezela Primary School,Sports & Recreation,150000
14375,Bellville Sports Federation,Sports & Recreation,225000
27408,Berea Lawn Tennis Club,Sports & Recreation,300000
11325,Bergrivier Municipality,Sports & Recreation,404000
32830,Big Bay Surf Lifesaving Club,Sports & Recreation,244750
32575,Blind Bowlers Boland Region,Sports & Recreation,87500
25060,Blomvlei Primary School,Sports & Recreation,250000
32983,Blue Bulls Rugby Union,Sports & Recreation,175750
37490,Bogwasha Primary School,Sports & Recreation,338759
24738,Bohwelabatho Primary School,Sports & Recreation,50000
24904,Boingotlo Middle School,Sports & Recreation,398500
25315,Boitshoko Primary School,Sports & Recreation,350000
37664,Boke High School,Sports & Recreation,50000
32889,Boland Netball,Sports & Recreation,426585
32613,Boland Rugby Union,Sports & Recreation,1681407
33151,Border Canoe Club,Sports & Recreation,102000
24967,Border Hockey Association,Sports & Recreation,1167500
26302,Border Kei Cricket Union,Sports & Recreation,390638
32668,Border Rugby Football Union Development,Sports & Recreation,1000000
38038,Bosele School for Blind & Deaf,Sports & Recreation,550000
25544,Bowls South Africa,Sports & Recreation,515246
25544,Bowls South Africa,Sports & Recreation,515246
19738,Bowls South Africa,Sports & Recreation,498000
25541,Boxing South Africa,Sports & Recreation,695000
32783,Breedekloof Wine & Tourism,Sports & Recreation,600000
32451,Cape Peninsula University of Technology,Sports & Recreation,2250000
32620,Capricorn FET College,Sports & Recreation,1005000
32584,Carel du Toit Trust,Sports & Recreation,51697
32867,Central Gauteng Athletics,Sports & Recreation,411100
19651,Central Hockey Club,Sports & Recreation,275000
32447,Central University of Technology Free State,Sports & Recreation,2250000
32447,Central University of Technology Free State,Sports & Recreation,2250000
24980,Charlie Hofmeyr High School,Sports & Recreation,330600
32367,Chessa South Africa,Sports & Recreation,473000
24365,Chizela Junior Secondary School,Sports & Recreation,250000
27682,Citrusdal Golf Club,Sports & Recreation,450000
25521,City of Cape Town,Sports & Recreation,1500000
24976,College of Cape Town,Sports & Recreation,1000000
32667,College of Cape Town,Sports & Recreation,828686
24595,Collegians Rugby Football Club,Sports & Recreation,200000
38508,Cradock High School,Sports & Recreation,618570
32721,Darling Cricket Club,Sports & Recreation,450000
37480,David Luvhimba Secondary School,Sports & Recreation,350000
37941,De Hoop Public School,Sports & Recreation,500000
23963,De Wagendrift Combined School,Sports & Recreation,250000
32578,Deaf Community of Cape Town,Sports & Recreation,116000
25370,Delportshoop Primary School,Sports & Recreation,250000
37465,Denga Secondary School,Sports & Recreation,300000
25062,Dennegeur Avenue Primary School,Sports & Recreation,50000
25472,Diamantveld High School,Sports & Recreation,350000
24837,Diphuti Primary School,Sports & Recreation,307500
27113,Disabled People SA Southern Transvaal,Sports & Recreation,372220
25317,Dr EP Lekhela School,Sports & Recreation,250000
24163,DRC Junior Secondary School,Sports & Recreation,50000
38981,Duduzile Secondary School,Sports & Recreation,300000
32589,Durban & Coastal Mental Health,Sports & Recreation,56325
32960,Durban Golf Club,Sports & Recreation,450000
32794,Durban North Gymnastics Club,Sports & Recreation,394343
37507,Dzata Secondary School,Sports & Recreation,700000
32405,Eastern Cape Academy of Sport,Sports & Recreation,1310503
32405,Eastern Cape Academy of Sport,Sports & Recreation,1310503
24371,Eastern Cape Amateur Boxing,Sports & Recreation,955333
32629,Eastern Cape Women’s Golf Association,Sports & Recreation,50000
26216,Eastern Province Aquatics,Sports & Recreation,1000000
26298,Eastern Province Hockey Federation,Sports & Recreation,546375
15739,Eastern Province Rugby Union,Sports & Recreation,2549075
25852,Eastern Province Underwater Union,Sports & Recreation,250000
26586,Eastern Province Volleyball Union,Sports & Recreation,560441
32842,Easterns Baseball Association,Sports & Recreation,699200
32593,Eersterus Care & Training Centre,Sports & Recreation,18462
24188,Ekuphumuleni Primary School,Sports & Recreation,150000
23850,Ekuseni School Committee Fund,Sports & Recreation,150000
23896,Embokodweni Combined School,Sports & Recreation,250000
26710,Emmanuel Christian School,Sports & Recreation,350000
32532,Emnambithi/Ladysmith Municipality,Sports & Recreation,1280000
25502,Emthanjeni Municipality,Sports & Recreation,638333
23941,Emthonjeni Primary School,Sports & Recreation,150000
23844,Endabeni Primary School,Sports & Recreation,250000
25220,Enoch Mthetho SS School,Sports & Recreation,294690
37503,EPP Mhinga Secondary School,Sports & Recreation,305000
38040,Ereskuld Community Intermediate School,Sports & Recreation,506217
32459,Ezinqoleni Municipality,Sports & Recreation,1000000
23908,Ezwenilethu Primary School,Sports & Recreation,250000
24937,Fairview Rovers Football Club,Sports & Recreation,80922
33109,False Bay College,Sports & Recreation,1009128
38127,Fedansa Gauteng,Sports & Recreation,274640
32892,Fedansa Western Cape,Sports & Recreation,368500
25590,Federation of Dance Sport SA,Sports & Recreation,548900
32316,Federation of Dance Sport SA,Sports & Recreation,1000000
37510,Fhatuwani Secondary School,Sports & Recreation,253000
25447,Ficksburg Bowling Club,Sports & Recreation,212000
32653,Flavius Mareka FET College,Sports & Recreation,987500
37516,Fofoza School,Sports & Recreation,400000
32790,Forest Farm Centre,Sports & Recreation,45000
32321,Free State Academy of Sport,Sports & Recreation,947625
25975,Free State Cricket Union,Sports & Recreation,1166667
25975,Free State Cricket Union,Sports & Recreation,1166666
25968,Free State Rugby Union,Sports & Recreation,817333
37713,Fuyatha Primary School,Sports & Recreation,300000
32615,Gauteng Canoe Union,Sports & Recreation,354640
33080,Gauteng East Tennis Association,Sports & Recreation,424980
24134,Gauteng Gymnastics Association,Sports & Recreation,511386
32617,Gauteng Gymnastics Association,Sports & Recreation,589767
16091,Gauteng North Wrestling,Sports & Recreation,322500
27687,George Bowling Club,Sports & Recreation,50000
32784,Ghetto Institute of Soccer Academy,Sports & Recreation,450000
23890,Gijamphezeni Primary School,Sports & Recreation,150000
24781,GJ Podile Primary School,Sports & Recreation,250000
32896,Glenwood High School Old Boys Club,Sports & Recreation,450000
33094,Golden Lions Rugby Union,Sports & Recreation,572900
25981,Goldfields FET College,Sports & Recreation,666667
25981,Goldfields FET College,Sports & Recreation,666667
33070,Grahamstown Golf Club,Sports & Recreation,42169
25357,Grange Primary School,Sports & Recreation,50000
37554,Great North Softball Association,Sports & Recreation,399572
25355,Greenpoint Secondary School,Sports & Recreation,50000
32641,Griffons Rugby Union,Sports & Recreation,1110000
32641,Griffons Rugby Union,Sports & Recreation,1110000
26020,Griqualand West Cricket Board,Sports & Recreation,275000
32634,Griqualand West Cricket Board,Sports & Recreation,842500
32634,Griqualand West Cricket Board,Sports & Recreation,842500
27069,Griqualand West Hockey Association,Sports & Recreation,1000000
25515,Griqualand West Rugby Union Development,Sports & Recreation,315000
25198,Griqualand West Rugby Union Development,Sports & Recreation,448400
25361,Griquatown Intermediate School,Sports & Recreation,50000
24952,Groenberg Secondary School,Sports & Recreation,282579
25179,Groendal Secondary School,Sports & Recreation,250000
37577,Gwamasenga Secondary School,Sports & Recreation,50000
37497,Gwara Gwara Primary School,Sports & Recreation,27635
32919,Harlequin Rugby Club,Sports & Recreation,164000
25879,Harmony Athletic Club Eastern Province,Sports & Recreation,400000
25017,Hlane Junior Secondary School,Sports & Recreation,194260
23987,Hlazane Primary School,Sports & Recreation,150000
23764,Hoër Tegniese Skool Vereeniging,Sports & Recreation,350000
24031,Holy Family Building Fund,Sports & Recreation,250000
25363,HTT Bidi Memorial Primary School,Sports & Recreation,250000
37496,Ikageng Primary School,Sports & Recreation,300000
25214,Ikaya Primary School,Sports & Recreation,350000
24707,Ikopanyeng Middle School,Sports & Recreation,350000
23968,Imemeza High School,Sports & Recreation,350000
23839,Impumelelo Primary School,Sports & Recreation,350000
23965,Ingwavuma Secondary School,Sports & Recreation,150000
23981,Injula Combined School,Sports & Recreation,150000
32574,Institute for the Blind Industries,Sports & Recreation,35559
25600,"International Institute for Sport & Science Fitness
Training SA",Sports & Recreation,417854
32583,Irene Homes,Sports & Recreation,144467
24973,Isalathiso Primary School,Sports & Recreation,50000
24063,Itemogele Primary School,Sports & Recreation,50000
23809,Itumeleng Mabelle Primary School,Sports & Recreation,700000
37715,Jim Rhangane Secondary School,Sports & Recreation,500000
24110,Johannesburg Canoe Club,Sports & Recreation,300000
32979,Johannesburg Child Welfare Society,Sports & Recreation,172046
32906,Johannesburg Gymnastics Centre,Sports & Recreation,450000
25420,John Mbhedlhe Secondary School,Sports & Recreation,250000
25584,Judo South Africa,Sports & Recreation,260824
32755,Judo South Africa,Sports & Recreation,1000000
25584,Judo South Africa,Sports & Recreation,659172
26737,Judo Southern Free State Association,Sports & Recreation,250000
24699,Kabelo Primary School,Sports & Recreation,250000
26998,Kakamas Private Golf Club,Sports & Recreation,600000
24375,Kanyalanga Primary School,Sports & Recreation,350000
24893,Kebinelang Middle School,Sports & Recreation,210250
24893,Kebinelang Middle School,Sports & Recreation,210250
23935,Keledi Secondary School,Sports & Recreation,150000
23970,Kennen Primary School,Sports & Recreation,150000
25375,Kevin Nkoane Primary School,Sports & Recreation,350000
37485,Kgaphola Matlala Secondary School,Sports & Recreation,500000
37783,Kgoroshi Primary School,Sports & Recreation,500000
24800,Kgosi Shope Middle School,Sports & Recreation,258500
24128,Kgotlelelang Primary School,Sports & Recreation,250000
32633,Kimberley Cricket Association,Sports & Recreation,50000
32773,Kimberley Golf Club,Sports & Recreation,600000
32774,Kimberley Town Bowling Club,Sports & Recreation,490200
26931,Kim-Kgolo Primary School,Sports & Recreation,50000
26352,King David Golf Club,Sports & Recreation,293627
37590,King’s Court School,Sports & Recreation,400000
37487,Koboti Junior Primary School,Sports & Recreation,300000
23855,Kohlokolo Primary School,Sports & Recreation,280000
27714,Kokstad Golf Club,Sports & Recreation,450000
37521,Komape Molapo Primary School,Sports & Recreation,500000
32825,Kosh Cricket Club,Sports & Recreation,400000
24052,Kristo Nkosi Primary School,Sports & Recreation,350000
39438,Kuswag School,Sports & Recreation,400000
23840,Kwa Qondile Primary School,Sports & Recreation,50000
23916,Kwakwari Primary School,Sports & Recreation,150000
23823,KwaMame Primary School,Sports & Recreation,250000
12589,KZN Academy of Sport,Sports & Recreation,634000
32630,KZN Athletics,Sports & Recreation,1144033
19823,KZN Canoe Union,Sports & Recreation,250000
32625,KZN Hockey Association,Sports & Recreation,325600
27161,KZN Rowing Association,Sports & Recreation,500000
32628,KZN Rugby Union,Sports & Recreation,1883800
25201,Laerskool Brandvlei,Sports & Recreation,350000
24752,Legaletlwa High School,Sports & Recreation,50000
23937,Lekanang Primary School,Sports & Recreation,250000
37644,Lekane School,Sports & Recreation,508000
32974,Leopard’s Rugby Union,Sports & Recreation,410000
32332,Limpopo Academy of Sport,Sports & Recreation,1400000
39053,Londhindha Primary School,Sports & Recreation,250000
37470,Lucas Ratshialingwa School,Sports & Recreation,50000
25277,Lufule Primary School,Sports & Recreation,250000
25277,Lufule Primary School,Sports & Recreation,250000
37586,Luheni Primary School,Sports & Recreation,50000
37720,Lusaka Primary School,Sports & Recreation,500000
25131,Lwamondo High School,Sports & Recreation,250000
24441,Mabhumane Primary School,Sports & Recreation,350000
24834,Madibong Primary School,Sports & Recreation,50000
24765,Madikanono Primary School,Sports & Recreation,50000
23934,Madikoti Primary School,Sports & Recreation,150000
39003,Madizi Secondary School,Sports & Recreation,50873
23886,Magaduzela Primary School,Sports & Recreation,250000
24779,Makadikwe Primary School,Sports & Recreation,50000
37578,Makantane Primary School,Sports & Recreation,500000
24906,Makapanstad Primary School,Sports & Recreation,50000
24002,Makata Secondary School,Sports & Recreation,150000
37579,Makeke Primary School,Sports & Recreation,500000
37912,Makgabo Primary School,Sports & Recreation,500000
37639,Makgato High School,Sports & Recreation,50000
37561,Makhabene Primary School,Sports & Recreation,53950
23816,Makhaloaneng JP School,Sports & Recreation,350000
37750,Makheala Primary School,Sports & Recreation,52940
23973,Makhosana Senior Secondary School,Sports & Recreation,250000
37729,Makoma Secondary School,Sports & Recreation,700000
24883,Malefo High School,Sports & Recreation,350000
24751,Malekgobo Primary School,Sports & Recreation,250000
37585,Maloba Primary School,Sports & Recreation,500000
24919,Mamogale Segale Primary School,Sports & Recreation,350000
24919,Mamogale Segale Primary School,Sports & Recreation,350000
24746,Mampuru School Committee,Sports & Recreation,283125
37784,Manchimudi Primary School,Sports & Recreation,500000
24692,Mandalay Primary School,Sports & Recreation,50000
32736,Mandeville Sports & Social Club,Sports & Recreation,450000
23943,Mandlakababa Primary School,Sports & Recreation,350000
27338,Maokeng Primary School,Sports & Recreation,350000
23966,Maoloshe Primary School,Sports & Recreation,150000
37514,Maphotle Primary School,Sports & Recreation,500000
37572,Maphuphe School Committee,Sports & Recreation,250000
38315,Maphutha Secondary School,Sports & Recreation,300000
37747,Mapula Primary School,Sports & Recreation,294875
34168,Marine Surf Lifesaving Club,Sports & Recreation,640257
33114,Maritzburg Golf Club,Sports & Recreation,600000
23826,Marobe Primary School,Sports & Recreation,350000
33049,Martial Arts & Games Committee South Africa,Sports & Recreation,750000
32588,Masizame Training Centre,Sports & Recreation,42000
23990,Masokaneni CP School,Sports & Recreation,110000
37488,Matavha Primary School,Sports & Recreation,700000
23882,Mathukwane Secondary School,Sports & Recreation,250000
23882,Mathukwane Secondary School,Sports & Recreation,250000
37668,Matome Modika School,Sports & Recreation,50000
25038,Matshangwane Primary School,Sports & Recreation,350000
37667,Matswidikanye Primary School,Sports & Recreation,50000
37589,Matuma Primary School,Sports & Recreation,50000
39163,Mawewe Primary School,Sports & Recreation,293523
37484,Mbilwana Primary School,Sports & Recreation,492000
18407,Mbombela Local Municipality,Sports & Recreation,1100000
23859,Mbopha High School,Sports & Recreation,150000
23861,Mdinwa Primary School,Sports & Recreation,150000
23847,Mdudla Primary School,Sports & Recreation,150000
30217,Meerensee Equestrian Club,Sports & Recreation,372060
18984,Mfundo Thuto School,Sports & Recreation,275000
24042,Mgwayini Primary School,Sports & Recreation,250000
33116,Midlands Rugby Sub-Union,Sports & Recreation,800199
33033,Mighty Squad Football Club,Sports & Recreation,80000
37958,Mmamakwa Primary School,Sports & Recreation,500000
37662,Mmankopana Primary School,Sports & Recreation,50000
39081,Mmasekaseka Middle School,Sports & Recreation,400000
23950,Mnyamana Primary School,Sports & Recreation,250000
37778,Modubyane Primary School,Sports & Recreation,430000
23824,Mohobo Public School,Sports & Recreation,350000
24881,Mokitime Primary School,Sports & Recreation,350000
25097,Mokone Primary School,Sports & Recreation,193000
37658,Mokwasele Primary School,Sports & Recreation,51824
33130,Molweni Flames Basketball Association,Sports & Recreation,123177
32478,Moses Kotane Local Municipality,Sports & Recreation,1138395
37660,Moshakga Primary School,Sports & Recreation,403800
23933,Mosipa Secondary School,Sports & Recreation,150000
23794,Mosiuoa Lekota Secondary School,Sports & Recreation,150000
37692,Mothomeng Primary School,Sports & Recreation,50000
26995,Mphephu  Secondary School,Sports & Recreation,50000
32329,Mpumalanga Academy of Sport,Sports & Recreation,1627500
32638,Mpumalanga Cricket Union,Sports & Recreation,1500000
32638,Mpumalanga Cricket Union,Sports & Recreation,1100000
33023,Mpumalanga Tennis Association,Sports & Recreation,731674
26384,Mpumalanga Wrestling Association,Sports & Recreation,260000
24062,Mqiniswa Primary School,Sports & Recreation,350000
23856,Mshengu Inclusive School,Sports & Recreation,150000
39093,Mthayiza Primary School,Sports & Recreation,243400
37509,Mugoidwa Secondary School,Sports & Recreation,275000
37498,Muhuyuwathomba Secondary School,Sports & Recreation,50000
37494,Mulangaphuma Primary School,Sports & Recreation,340000
37478,Mulenga Secondary School,Sports & Recreation,300000
11315,Municipality Bergrivier,Sports & Recreation,366666
37984,Munwai Primary School,Sports & Recreation,500000
23952,Musi Combined Primary School,Sports & Recreation,250000
37587,Muungamunwe Primary School,Sports & Recreation,50000
26435,Muvhavha Secondary School,Sports & Recreation,50000
32715,Mzansi Golf Development,Sports & Recreation,450000
30184,Natal Midlands Hockey Association,Sports & Recreation,467500
32959,Natal Midlands Hockey Association,Sports & Recreation,1794264
32658,NC Rural FET College,Sports & Recreation,1036980
24363,Ndamase Senior Secondary School,Sports & Recreation,350000
39123,Ndebele College of Education,Sports & Recreation,1000000
25466,Neilersdrift Primary School,Sports & Recreation,350000
25466,Neilersdrift Primary School,Sports & Recreation,350000
32285,Netball SA,Sports & Recreation,2000000
24926,Netball SA,Sports & Recreation,1465000
32285,Netball SA,Sports & Recreation,2000000
24342,Newcastle Golf Club,Sports & Recreation,300000
37676,Ngwako Primary School,Sports & Recreation,500000
38404,Njokweni High School,Sports & Recreation,49711
24897,Nkobong High School,Sports & Recreation,297850
12602,Nkomazi Municipality,Sports & Recreation,1333000
38065,Nkomo Primary School,Sports & Recreation,450000
37565,Nkoshilo Secondary School,Sports & Recreation,500000
25098,Nnditsheni Secondary School,Sports & Recreation,250000
23846,Nobiya High School,Sports & Recreation,250000
23846,Nobiya High School,Sports & Recreation,250000
23864,Nomaganga Primary School,Sports & Recreation,50000
32663,North West Cricket Board,Sports & Recreation,934685
32679,North West Hockey Association,Sports & Recreation,270000
32430,North West University Main Account,Sports & Recreation,2205311
33117,Northern Areas Soccer Board Port Elizabeth,Sports & Recreation,1582800
32612,Northern Cape Academy of Sport,Sports & Recreation,1500000
32684,Northern Free State Jukskei Union,Sports & Recreation,822050
25057,Nqadu Junior Secondary School,Sports & Recreation,46610
23834,Nqobizazi Secondary School,Sports & Recreation,250000
27162,Ntambanana Municipality,Sports & Recreation,333333
37492,Nwamalobye High School,Sports & Recreation,300000
23889,Nyenye Primary School,Sports & Recreation,250000
27974,Old Oak Bowling Club,Sports & Recreation,333122
32711,Old Parktonian Sports Club,Sports & Recreation,450000
32649,Orbit FET College,Sports & Recreation,931630
24698,Orkney Primary School,Sports & Recreation,350000
24941,Panorama Primary School,Sports & Recreation,350000
37476,Patrick Ramaano Secondary School,Sports & Recreation,700000
32843,Peninsula Blind Bowlers,Sports & Recreation,52520
26709,PEPPS Polokwane School,Sports & Recreation,250000
25347,Pescodia Primary School,Sports & Recreation,250000
37956,Phagameng High School,Sports & Recreation,450000
37705,Phalatlou Secondary School,Sports & Recreation,500000
37947,Phaudi Primary School,Sports & Recreation,50000
24726,Phutanang Primary School,Sports & Recreation,250000
37719,Phutikwena Combined Public School,Sports & Recreation,500000
24777,Piet Aphane Secondary School,Sports & Recreation,50000
32942,Pinetown Hockey Club,Sports & Recreation,50000
32737,Pisces Swimming Club,Sports & Recreation,271359
25169,Pitso Jantjies High School,Sports & Recreation,350000
25051,Plantation Primary School,Sports & Recreation,350000
13527,Port Shepstone Volley Ball Association,Sports & Recreation,150000
24172,Port St John’s Secondary School,Sports & Recreation,250000
13816,Potchefstroom Municipality,Sports & Recreation,467000
25537,Powerboat South Africa,Sports & Recreation,990000
23880,Prince SJ Mahlangu School,Sports & Recreation,350000
32802,Progress Rugby Club,Sports & Recreation,189214
39134,Qalabocha Primary School,Sports & Recreation,300000
23831,Qomukuphila Primary School,Sports & Recreation,150000
23860,Qongwana Primary School,Sports & Recreation,150000
37540,Raluthaga Senior Primary School,Sports & Recreation,60000
37752,Rama Secondary School,Sports & Recreation,500000
37732,Ramakhuma Primary School,Sports & Recreation,119460
37473,Rammupudu Primary School,Sports & Recreation,258500
37781,Rampuru Primary School,Sports & Recreation,500000
32453,Randfontein Local Municipality,Sports & Recreation,500000
25358,RD Williams Primary School,Sports & Recreation,319200
23830,Reatile Primary School,Sports & Recreation,350000
26010,Reitz Golf Club,Sports & Recreation,592515
15808,Rhodes University Sports Administration,Sports & Recreation,835500
32727,Rietondale Tennisklub,Sports & Recreation,300000
24453,Rietpoort RK Primary School,Sports & Recreation,50000
32261,Roller Sport South Africa,Sports & Recreation,738375
32261,Roller Sport South Africa,Sports & Recreation,738375
25366,Roodepan Primary School,Sports & Recreation,50000
25385,Rosendal Primary School,Sports & Recreation,250000
37794,Rosenkrantz Community Primary School,Sports & Recreation,500000
32303,Rowing South Africa,Sports & Recreation,2720834
32303,Rowing South Africa,Sports & Recreation,2720834
32506,Rustenburg Local Municipality,Sports & Recreation,504000
32380,SA Amateur Fencing Association,Sports & Recreation,1031257
32380,SA Amateur Fencing Association,Sports & Recreation,1031257
38110,SA Equestrian Council,Sports & Recreation,2387500
32391,SA Football Association,Sports & Recreation,2224000
23769,SA Football Association,Sports & Recreation,2273952
9174,SA Football Association,Sports & Recreation,511450
9172,SA Football Association,Sports & Recreation,507100
27728,SA Golf Association,Sports & Recreation,405400
24360,SA Lifesaving,Sports & Recreation,283000
38824,SA Lifesaving,Sports & Recreation,997500
32260,SA Model Aircraft Association,Sports & Recreation,610000
12482,SA National Amateur Boxing Organisation,Sports & Recreation,438530
25551,SA National Archery Association,Sports & Recreation,398272
27025,SA Police Sport Club,Sports & Recreation,600000
27141,SA Riding for the Disabled Association,Sports & Recreation,300000
11564,SA Riding for the Disabled Association,Sports & Recreation,774953
32689,SA Sheep Shearing Federation,Sports & Recreation,551044
32689,SA Sheep Shearing Federation,Sports & Recreation,551045
23595,SA Sport Aerobics & Fitness Federation,Sports & Recreation,421581
25578,SA Sport Association for the Physically Disabled,Sports & Recreation,1000000
32259,"SA Sport Association for the Physically Disabled,
Archery",Sports & Recreation,177617
32267,SA Sports Anglers & Casting Confederation,Sports & Recreation,322500
32454,"SA Sports Association for the Intellectually
Impaired",Sports & Recreation,647500
32414,"SA Sports Association for the Intellectually
Impaired",Sports & Recreation,500000
5991,"SA Sports Association for the Intellectually
Impaired",Sports & Recreation,143435
32414,"SA Sports Association for the Intellectually
Impaired",Sports & Recreation,3313610
32313,SA Taekwondo Federation,Sports & Recreation,1076121
